! =====================================================
! Host:     Leaf-4 (10.1.4.1)
! Command:  show mac address-table
! Captured: 2026-04-24T11:58:34+00:00
! =====================================================

Legend: 
	* - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
	age - seconds since last seen,+ - primary entry using vPC Peer-Link,
	(T) - True, (F) - False, C - ControlPlane MAC, ~ - vsan,
	(NA)- Not Applicable A - ESI Active Path, S - ESI Standby Path
	TL - True Learned, PS - Peer Sync, RO - Re-originate 
   VLAN     MAC Address      Type      age     Secure NTFY Ports
---------+-----------------+--------+---------+------+----+------------------
*   14     5000.0004.0001   dynamic  NA         F      F    Eth1/3
* 3001     5007.0000.1b08   static   -         F      F    nve1
* 3001     5008.0000.1b08   static   -         F      F    nve1(10.0.0.12)
* 3001     5009.0000.1b08   static   -         F      F    nve1(10.0.0.13)
* 3001     500a.0000.1b08   static   -         F      F    Vlan3001
G    -     2020.0000.00aa   static   -         F      F    sup-eth1(R)
G    -     500a.0000.1b08   static   -         F      F    sup-eth1(R)
G   14     500a.0000.1b08   static   -         F      F    sup-eth1(R)
G 3001     500a.0000.1b08   static   -         F      F    sup-eth1(R)
